ORTHOMCL10012|Gene.8291	SISRS_NODE_350384_length_782_cov_3.5370
ORTHOMCL10049|Gene.22415	TC000747_GLEAN_007_47
ORTHOMCL10051|Gene.7979	TC015539_GLEAN_155_39
ORTHOMCL10053|Gene.17071	TC008872_GLEAN_088_72
ORTHOMCL10058|Gene.3435	TC004834_GLEAN_048_34
ORTHOMCL10081|Gene.23666	TC009260_GLEAN_092_60
ORTHOMCL10086|Gene.4775	TC001317_GLEAN_013_17
ORTHOMCL10094|Gene.23530	TC008667_GLEAN_086_67
ORTHOMCL10131|Gene.10079	TC000100_GLEAN_001_00
ORTHOMCL10190|Gene.23256	TC010002_GLEAN_100_02
ORTHOMCL10221|Gene.1894	TC013727_GLEAN_137_27
ORTHOMCL10271|Gene.1716	TC000931_GLEAN_009_31
ORTHOMCL10285|Gene.4764	TC013357_GLEAN_133_57
ORTHOMCL10298|Gene.1032	TC016306_GLEAN_163_06
ORTHOMCL10308|Gene.3880	TC014377_GLEAN_143_77
ORTHOMCL10318|Gene.2008	TC012708_GLEAN_127_08
ORTHOMCL10330|Gene.2768	TC007229_GLEAN_072_29
ORTHOMCL9768|Gene.24849	TC012443_GLEAN_124_43
ORTHOMCL9773|Gene.25265	TC003255_GLEAN_032_55
ORTHOMCL9777|Gene.25457	TC006406_GLEAN_064_06
ORTHOMCL9825|Gene.9289	TC005229_GLEAN_052_29
ORTHOMCL9853|Gene.4505	TC030655_GLEAN_13458-OG192_46
ORTHOMCL9873|Gene.25455	TC008443_GLEAN_084_43
ORTHOMCL9895|Gene.26004	TC015064_GLEAN_150_64
ORTHOMCL9905|Gene.22245	TC007324_GLEAN_073_24
ORTHOMCL9928|Gene.25086	TC002951_GLEAN_029_51
ORTHOMCL9929|Gene.24964	TC013477_GLEAN_134_77
ORTHOMCL9953|Gene.24608	TC002098_GLEAN_020_98
SISRS_NODE_1028104_length_534_cov_5.3127	TC030644_GLEAN_04725-OG17_72
SISRS_NODE_1297940_length_596_cov_4.5536	TC004583_GLEAN_045_83
SISRS_NODE_1362171_length_572_cov_4.0174	TC030781_GLEAN_00320-OG95_38
SISRS_NODE_160888_length_403_cov_1.9081	TC000782_GLEAN_007_82
SISRS_NODE_162307_length_466_cov_2.6502	TC007804_GLEAN_078_04
SISRS_NODE_183848_length_628_cov_3.6815	TC000095_GLEAN_000_95
SISRS_NODE_216037_length_698_cov_7.2449	TC008190_GLEAN_081_90
SISRS_NODE_242954_length_513_cov_3.8206	TC012060_GLEAN_120_60
SISRS_NODE_248985_length_701_cov_6.9201	TC009066_GLEAN_090_66
SISRS_NODE_257639_length_401_cov_2.5236	TC000782_GLEAN_007_82
SISRS_NODE_269093_length_432_cov_2.2152	TC000739_GLEAN_007_39
SISRS_NODE_331188_length_759_cov_3.1067	TC001623_GLEAN_016_23
SISRS_NODE_350384_length_782_cov_3.5370	ORTHOMCL10012|Gene.8291
SISRS_NODE_433933_length_509_cov_7.8919	TC030644_GLEAN_04725-OG17_72
SISRS_NODE_451013_length_442_cov_11.3823	TC005167_GLEAN_051_67
SISRS_NODE_545804_length_435_cov_7.0505	TC010881_GLEAN_108_81
SISRS_NODE_597294_length_481_cov_5.6070	TC005675_GLEAN_056_75
SISRS_NODE_618786_length_1004_cov_5.7211	TC004801_GLEAN_048_01
SISRS_NODE_650116_length_440_cov_3.9386	TC000529_GLEAN_005_29
SISRS_NODE_705774_length_642_cov_7.9517	TC004140_GLEAN_041_40
SISRS_NODE_721070_length_408_cov_3.1642	TC001051_GLEAN_010_51
SISRS_NODE_73600_length_489_cov_6.8691	TC016163_GLEAN_161_63
SISRS_NODE_740346_length_408_cov_3.9191	TC004924_GLEAN_049_24
SISRS_NODE_740746_length_425_cov_6.3011	TC016056_GLEAN_160_56
SISRS_NODE_769712_length_811_cov_5.4722	TC007820_GLEAN_078_20
SISRS_NODE_86925_length_1087_cov_4.5160	TC015505_GLEAN_155_05
SISRS_NODE_992373_length_448_cov_6.1138	TC008963_GLEAN_089_63
TC000095_GLEAN_000_95	SISRS_NODE_183848_length_628_cov_3.6815
TC000100_GLEAN_001_00	ORTHOMCL10131|Gene.10079
TC000529_GLEAN_005_29	SISRS_NODE_650116_length_440_cov_3.9386
TC000739_GLEAN_007_39	SISRS_NODE_269093_length_432_cov_2.2152
TC000747_GLEAN_007_47	ORTHOMCL10049|Gene.22415
TC000782_GLEAN_007_82	SISRS_NODE_160888_length_403_cov_1.9081
TC000782_GLEAN_007_82	SISRS_NODE_257639_length_401_cov_2.5236
